Smiles,Score
[N-]=[N+]=N[O-],0
NS(=O)(=O)n1c(=O)cc[nH]c1=O,0
CNC(=O)c1ccc2oc(=O)ccc2c1,8.867395163
O=c1[nH]cccc1-n1cccn1,8.988859892
C#CCc1coc2ccccc2c1=O,8.840843201
O=c1nc(C2CC=CCC2)[nH]c2ccccc12,8.081890583
c1ccc2c(-c3nncs3)n[nH]c2c1,7.978587151
O=c1[nH]c(-c2c[nH+]cs2)nc2ccccc12,0
C=C1C=C(c2cc(=O)c3ccccc3o2)C=N1,0
c1cc(-c2ncc3nccnc3n2)[nH]n1,6.800104141
c1ncc2c(-c3ncon3)n[nH]c2n1,7.942729473
ON=Cc1ccno1,8.11217761
O=c1[nH]c(-n2c[nH+]c3c(=O)[nH]cnc32)nc2[nH]cnc12,0
O=c1nc(-c2cccc3c2OCO3)[nH]c2ccccc12,8.055969715
c1coc(-n2ccnc2)c1,5.819732666
C1=CCC([n+]2ccccc2)CC1,7.867726088
c1nc(C2CCCCC2)n[nH]1,9.009118557
c1ccc2nc(-c3cccc4[nH]ccc34)ncc2c1,8.826608181
c1nn[nH]c1C1CO1,7.962383747
O=C1C=C(c2nc3cncnc3[nH]2)CN1,6.88207674
O=[SH]C1CCNCC1,0
O=C1C=C(c2csc[nH+]2)C(=O)c2ccccc21,0
O=c1cc[nH]c(=O)n1-c1ccnc2ccnn12,0
O=c1[nH]c2c(c(=O)[nH]1)Nc1ccc(-n3cnc4c(=O)[nH]cnc43)cc1N2,0
O=c1[nH]c2c(c(=O)[nH]1)Nc1cc(-c3csc4ccccc34)ccc1N2,0
O=c1nc(C2C=C3C=C4CC=C5C=c6ccc7n6[Fe]6(N54)N3C2=Cc2ccc(n26)C=7)[nH]c2nccnc12,0
O=C1c2cc3c(cc2C(=O)c2c1cccc2N1CCc2ccccc2C1)CCCC3,0
C=C1CCC(C23CCCC2C2CC=C4CCCCC4C2CC3)CC1=C,0
O=C1Cc2c3nc(cc4ccc(cc5nc(cc6cc1c2[nH]6)CC5P(=O)([O-])[O-])[nH]4)CC3,0
C1=C2C=C3C(C45CCCC4C4CCc6ccccc6C4CC5)C=C4C=c5ccc6n5[Fe]5(N2C(=Cc2ccc(n25)C=6)C1)N43,0
O=C1C2=CC3C(=O)C=CCC3CC2Cc2c1cccc2-c1cnc2[nH]ccc2c1,0
O=C([O-])C1=CCOC2Nc3nc[nH]c(=O)c3NC12,0
O=C1c2cc3c(cc2C(=O)c2c1cccc2-c1c[nH]c(=O)[nH]c1=O)CCCC3,0
C=C1CCCC2(c3nc4c(c(=O)[nH]3)NC3C=CCOC3N4)CCCC12,0
BrC1C=C2C=C3CC=C4C=c5ccc6n5[Fe]5(N43)N2C1=Cc1ccc(n15)C=6,0
C[N+](C)(C)C1C=C2CC(=O)C3CCC4OCC4C3CC(C2)C1,0
NOC1=CCOC2Nc3nc[nH]c(=O)c3NC12,0
c1cc(C23CCCCC2O3)on1,7.91012764
O=[PH]1OCC2OCC(O)C2O1,0
O=C1CC2=CCCC(C2)CC2C3COC3CCC12C1OCCO1,0
NC(=[NH2+])c1cccc2c1CC1CC3CC=CC(=O)C3C=C1C2=O,0
O=c1cc(C2C=CC3Nc4c(nc[nH]c4=O)NC3O2)cc[nH]1,0
O=c1[nH]cnc2cccc(C3C=C4C=C5CC=C6C=c7ccc8n7[Fe]7(N65)N4C3=Cc3ccc(n37)C=8)c12,0
O=C1CCC2(O1)C1=Cc3ccc4n3[Fe]35N1C(=Cc1ccc(n13)C=c1ccc(n15)=C4)C2c1ccc2occc2c1,0
O=C1CC2CCC1(C1=CNCC1)C2,0
C1CC2CCC3C(CCC4CCCCC43C3CCSSC3)C2C1,0
O=C1C2=CC3C(=O)C=CCC3C(n3c(=O)[nH]c4ccccc43)C2Cc2ccccc21,0
O=c1[nH]cnc2c1ncn2C1OC2CCC1OC1CCC(CO1)OC1CCC(CO1)OC1CCC(CO1)OC1CCC(CO1)OC1CCC(CO1)O2,0
C=c1cc2n3c1=Cc1cc(=CC(=N)N)c4n1[Fe]31n3c(ccc3C=c3ccc(n31)=C2)C=4,0
O=C1CC2CCC1(CCl)C2,7.86220026
O=c1ncn(-c2cc3ccccc3s2)c2ccccc12,0
O=C1C=CC(c2cc(=O)[nH]c3ccccc23)O1,6.724003315
O=c1[nH]cccc1-c1ccno1,8.981782913
C=C1CCCC(B(O)O)C1=C,0
CCNC(=O)c1ccno1,8.88859129
O=[PH]([O-])c1nccs1,0
O=C(Br)NO,0
c1ccc2ncc(-c3cncnc3)cc2c1,8.991619587
c1ccc(-c2cnc3[nH]ccc3c2)nc1,9.002551079
c1nc(N2CCC2)c2ccsc2n1,8.953487873
c1nnc(C2CCNCC2)s1,8.099257469
CCc1cocn1,9.583848476
O=c1[nH]cnc2[nH]c(-c3cc[nH]c3)nc12,8.940954208
Sc1ccc[nH]1,6.281046867
O=c1[nH]c2nc[nH]c2c(=O)n1C=CO,0
O=c1ccnc(-c2c[nH]c3ncncc23)[nH]1,8.076759577
N=Cc1nc2[nH]ccc2c(=O)[nH]1,0
[NH3+][n+]1ccsc1,0
CC(C)(C)c1cc2ncccn2n1,8.816602945
c1cnn(-c2ncc[nH]2)c1,8.784799099
O=P1(c2nnn[nH]2)OCC2OCCC2O1,0
O=c1[nH]cnc2c1[nH+]cn2-n1ccc2cncnc21,0
Nc1ncc2cc[nH]c2n1,9.539299011
O=c1[nH]c(-c2cnc3ncncc3n2)nc2c1N=CCN2,0
O=C1C=C(c2cc3ccccc3[nH]2)CN1,7.172963142
O=c1ccccn1-n1ccnc1,0
N#CCn1ccc2cncnc21,8.954779625
